"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.04722492054988,0.347,0.033,0,"0","CLEC1A"
0,2.57412945935712,0.402,0.089,0,"0","C21orf91"
0,0.684874363892775,0.754,0.441,0,"0","NR2F2"
0,1.92761719904282,0.951,0.638,0,"0","TPM3"
0,1.55907095118476,0.739,0.427,0,"0","NCOA7"
0,0.866075779173345,0.776,0.464,0,"0","ASAP1"
0,3.51691359654829,0.335,0.023,0,"0","HOXB7"
0,1.24202643343157,0.764,0.453,0,"0","TJP1"
0,3.37846340673265,0.334,0.023,0,"0","ADGRG1"
0,0.55845223450428,0.434,0.124,0,"0","IGF2"
0,3.12632505512796,0.344,0.034,0,"0","DIPK1B"
0,2.02419359142048,0.375,0.066,0,"0","SH2D3C"
0,2.11430700440731,0.388,0.08,0,"0","NOTCH1"
0,1.29136543034313,0.61,0.302,0,"0","HDAC7"
0,1.97164733453062,0.411,0.103,0,"0","BCR"
0,1.8428184708384,0.465,0.158,0,"0","AP1S2"
0,1.29109271131487,0.641,0.334,0,"0","CTNND1"
0,1.84447369441068,0.429,0.122,0,"0","CPNE2"
0,1.54830014006425,0.829,0.522,0,"0","SNHG7"
0,3.37501256296052,0.333,0.027,0,"0","MFNG"
0,2.44120882707101,0.352,0.047,0,"0","F11R"
0,1.44539087210692,0.746,0.441,0,"0","BACE2"
0,5.66149466757511,0.31,0.005,0,"0","SELE"
0,1.93314862126074,0.424,0.12,0,"0","IPO11"
0,2.14032800168655,0.384,0.08,0,"0","TGM2"
0,0.803884796136762,0.648,0.345,0,"0","RASAL2"
0,2.09260686985445,0.372,0.069,0,"0","EPHA4"
0,1.15204872001444,0.847,0.545,0,"0","NRP1"
0,1.20463908196536,0.559,0.259,0,"0","FRYL"
0,2.88426064994868,0.339,0.039,0,"0","GPR146"
0,1.74872015718766,0.455,0.157,0,"0","RELL1"
0,1.76305412388724,0.651,0.353,0,"0","AKR1C3"
0,3.28671596463436,0.33,0.032,0,"0","LYL1"
0,1.01435672712777,0.724,0.426,0,"0","LMCD1"
0,1.049223650197,0.727,0.429,0,"0","ZNF521"
0,1.93076334054743,0.434,0.137,0,"0","TNFAIP1"
0,1.05419609663438,0.539,0.243,0,"0","SLC9A3R2"
0,1.6211333238069,0.526,0.23,0,"0","SPHK1"
0,3.25789133284988,0.323,0.027,0,"0","TACR1"
0,2.9027433878461,0.326,0.031,0,"0","SOX7"
0,3.04502805194048,0.339,0.044,0,"0","MAPK11"
0,1.13805387444214,0.516,0.222,0,"0","TANC1"
0,1.35013548756481,0.413,0.119,0,"0","GALNT18"
0,2.30457763393866,0.371,0.077,0,"0","SEMA6B"
0,1.47058563654119,0.573,0.279,0,"0","PON2"
0,1.60243476147933,0.571,0.277,0,"0","CPD"
0,1.8933248659275,0.375,0.082,0,"0","EXOC6"
0,2.16316702516766,0.371,0.079,0,"0","TNFRSF10D"
0,1.79255231311921,0.343,0.052,0,"0","RASGRF2"
0,2.31813710319415,0.368,0.077,0,"0","OCIAD2"
0,1.81049935890028,0.349,0.058,0,"0","AFAP1L1"
0,2.35316465003643,0.359,0.068,0,"0","SMAGP"
0,0.995944974925916,0.427,0.137,0,"0","STMN1"
0,1.62379092906706,0.467,0.178,0,"0","PXN"
0,2.59721916560327,0.323,0.034,0,"0","MYO5C"
0,1.10737071128365,0.786,0.498,0,"0","TGFBR3"
0,1.58831795043284,0.457,0.169,0,"0","CEP68"
0,3.43013631572606,0.313,0.025,0,"0","ITGA2"
0,1.86198139039706,0.368,0.08,0,"0","PPP1R13B"
0,1.9031678935378,0.417,0.129,0,"0","KIFC3"
0,1.37676868875508,0.538,0.251,0,"0","SEC14L1"
0,1.21690013579536,0.803,0.516,0,"0","S100A16"
0,2.37545249652892,0.351,0.064,0,"0","GIPC2"
0,6.27188553121057,0.289,0.003,0,"0","CCL23"
0,3.51187351741562,0.3,0.014,0,"0","ADAMTS18"
0,1.07298705728013,0.512,0.227,0,"0","HIP1"
0,1.79027716950108,0.44,0.156,0,"0","HDAC1"
0,4.14492016180689,0.321,0.037,0,"0","DNASE1L3"
0,1.9259263230787,0.464,0.18,0,"0","LPCAT4"
0,1.1224938610567,0.522,0.238,0,"0","CPXM2"
0,1.05022549265928,0.705,0.421,0,"0","HLA-F"
0,1.09296937239498,0.477,0.193,0,"0","PTPRE"
0,2.0293447355754,0.391,0.108,0,"0","PRKD2"
0,3.06977096455611,0.313,0.031,0,"0","AC007681.1"
0,1.6367769714127,0.468,0.186,0,"0","RESF1"
0,1.31969526079963,0.627,0.346,0,"0","BNIP2"
0,1.39603457104292,0.561,0.28,0,"0","ICAM1"
0,1.50102222717383,0.368,0.087,0,"0","STOX2"
0,1.52079299356661,0.529,0.249,0,"0","EFHD2"
0,2.55064184026738,0.327,0.047,0,"0","RNF125"
0,1.54959123229805,0.446,0.166,0,"0","EVA1C"
0,1.61235690585431,0.384,0.104,0,"0","NAV3"
0,2.45727657742883,0.312,0.033,0,"0","TSPAN13"
0,2.01150963308594,0.394,0.115,0,"0","ORAI1"
0,0.781630079976652,0.602,0.324,0,"0","CTSC"
0,2.72630054677992,0.314,0.037,0,"0","NRARP"
0,2.32690024617894,0.344,0.067,0,"0","TNFRSF1B"
0,1.82457720139642,0.339,0.063,0,"0","ABLIM3"
0,1.99415041349184,0.366,0.09,0,"0","CNKSR3"
0,1.47186112012358,0.426,0.151,0,"0","ARRB1"
0,1.30034528553829,0.644,0.37,0,"0","SHC1"
0,0.662583673029252,0.563,0.289,0,"0","PDE4D"
0,2.20166666923073,0.367,0.094,0,"0","MANSC1"
0,1.30139292831463,0.523,0.252,0,"0","SLC2A3"
0,2.39159206727998,0.337,0.066,0,"0","RPH3AL"
0,1.29331006221152,0.928,0.657,0,"0","MYH9"
0,2.62035143237426,0.307,0.037,0,"0","BCL6B"
0,3.45107229561914,0.291,0.021,0,"0","AL359220.1"
0,1.81276934920135,0.959,0.691,0,"0","HSPG2"
0,2.10138489352873,0.364,0.096,0,"0","UCK2"
0,0.942633450649136,0.649,0.381,0,"0","HLA-DPB1"
0,1.52890349873716,0.463,0.195,0,"0","WWP1"
0,1.24267278903083,0.673,0.406,0,"0","CCDC50"
0,1.25331214991461,0.913,0.646,0,"0","ADIRF"
0,1.55124189964031,0.538,0.271,0,"0","CD320"
0,1.45579074628762,0.459,0.192,0,"0","ATP11C"
0,2.93594543288373,0.289,0.022,0,"0","ZNF366"
0,2.24374113201376,0.301,0.035,0,"0","AL589693.1"
0,2.03643586481757,0.364,0.099,0,"0","SOCS2"
0,3.25121626242325,0.288,0.023,0,"0","GATA2"
0,1.28861614906003,0.855,0.592,0,"0","TMOD3"
0,1.22740292440762,0.472,0.21,0,"0","HLA-DMA"
0,0.818620146704938,0.636,0.374,0,"0","FOXO1"
0,1.31627168484865,0.628,0.367,0,"0","ATP2B1"
0,1.67891184097795,0.418,0.158,0,"0","VASP"
0,1.95484630115379,0.317,0.057,0,"0","AL583785.1"
0,0.982698884860434,0.809,0.55,0,"0","STOM"
0,1.16680239672737,0.455,0.196,0,"0","LRCH1"
0,1.27518194386777,0.529,0.27,0,"0","PARVB"
0,2.28373583217194,0.304,0.046,0,"0","PCDH1"
0,1.16624600789592,0.795,0.537,0,"0","FLOT1"
0,1.35755835716913,0.588,0.331,0,"0","PDIA5"
0,1.05456603723335,0.582,0.325,0,"0","CDK17"
0,3.01233745400365,0.278,0.022,0,"0","TMEM88"
0,3.60197837665041,0.276,0.021,0,"0","SNCA"
0,1.22769427272035,0.491,0.236,0,"0","LMBR1"
0,1.38868955566234,0.369,0.114,0,"0","SFMBT2"
0,1.68491976409008,0.366,0.111,0,"0","PRXL2A"
0,1.34053564739639,0.445,0.19,0,"0","TSPAN14"
0,2.1308911569566,0.328,0.073,0,"0","ABCG1"
0,1.36666010650951,0.459,0.205,0,"0","CCND3"
0,2.72447469214813,0.299,0.045,0,"0","SH3BGRL2"
0,1.3881083590624,0.925,0.671,0,"0","CDC37"
0,3.08716263136387,0.283,0.029,0,"0","SEMA3F"
0,1.70420070412282,0.39,0.137,0,"0","NUDT14"
0,1.11744074191421,0.412,0.159,0,"0","NXN"
0,1.61137102526271,0.378,0.126,0,"0","MSRA"
0,2.14493290295382,0.324,0.073,0,"0","LEF1"
0,1.43338288772431,0.936,0.685,0,"0","KTN1"
0,2.07025378220986,0.292,0.041,0,"0","PPP1R16B"
0,0.644833923878158,0.728,0.478,0,"0","UTRN"
